Time,MSLAW (# drones=5),MSLAW (# drones=7),MSLAW (# drones=10),RWP (# drones=5),RWP (# drones=7),RWP (# drones=10)
0,82.18999999999998,91.71000000000001,89.95666666666668,79.2,90.33333333333334,93.36333333333332
1,82.15333333333334,90.05333333333331,93.12666666666667,79.00333333333333,89.22333333333333,93.95000000000002
2,81.88666666666666,90.04000000000003,94.16333333333333,78.97333333333333,89.47333333333333,92.09333333333335
3,81.86333333333333,90.22999999999999,94.94999999999999,78.97666666666667,88.97999999999999,88.33000000000001
4,81.97666666666666,90.40666666666667,94.86666666666667,78.97666666666667,88.9,91.78000000000002
5,82.24333333333334,89.15333333333334,94.68333333333334,79.04333333333335,88.96333333333334,91.78333333333332
6,82.18666666666667,90.08000000000001,94.57333333333332,79.08666666666669,88.60666666666667,94.46000000000001
7,81.81,91.06333333333332,96.16,79.09,88.75999999999999,94.28333333333335
8,82.08000000000001,89.88666666666667,95.88,79.11999999999999,88.80666666666667,95.15333333333334
9,82.06000000000003,90.70666666666666,95.55333333333333,79.15666666666667,88.9,94.86666666666666
10,81.97333333333333,90.00000000000001,96.04666666666667,79.08000000000003,88.46000000000001,94.19000000000001
11,81.94999999999999,90.50333333333334,95.85,79.08333333333334,89.52000000000001,96.32333333333335
12,82.02333333333331,89.82666666666668,96.38333333333331,79.24333333333334,89.45333333333332,94.31666666666665
13,82.03666666666666,89.69000000000001,95.9,79.35,89.52666666666667,95.37666666666665
14,82.05666666666669,90.19333333333336,95.83,79.25666666666667,90.06666666666666,95.73333333333333
15,81.95,90.18333333333334,95.68333333333331,79.15666666666667,89.29666666666665,95.38666666666667
16,81.96666666666667,90.52000000000001,96.37000000000002,79.33,88.60666666666667,95.06333333333332
17,81.97666666666666,90.00999999999999,95.41666666666667,79.10000000000001,89.45333333333335,95.65666666666667
18,81.7,90.73333333333332,96.02666666666666,79.07666666666667,87.88333333333334,94.91666666666666
19,81.65666666666667,88.86666666666666,95.61999999999999,79.16,89.66333333333333,95.01333333333332
20,81.41000000000001,90.76,96.18666666666668,79.12333333333333,89.87666666666668,95.20666666666668
21,81.67333333333335,89.53333333333333,95.99,79.19333333333333,89.40666666666667,96.24
22,81.79666666666665,89.82333333333331,96.37,79.14666666666668,89.90333333333334,95.75333333333334
23,81.60666666666665,90.07333333333334,96.03666666666666,79.50333333333334,89.12,95.55999999999999
24,81.74,89.73333333333336,95.81,79.37666666666667,88.31666666666669,95.32666666666667
25,81.84333333333333,89.85333333333332,95.84333333333333,79.17666666666666,89.45666666666666,94.93333333333331
26,81.72333333333333,89.89000000000001,95.97333333333333,79.21000000000001,89.75666666666667,94.77666666666667
27,81.66,90.13999999999999,96.67333333333336,79.15333333333334,89.22666666666666,94.94333333333336
28,81.12666666666668,90.41666666666666,95.66333333333333,79.43666666666668,89.19333333333331,95.52333333333334
29,79.06999999999998,86.99999999999997,92.61999999999999,79.31666666666666,89.79666666666665,96.22333333333333
30,68.75333333333332,76.05666666666666,81.82000000000001,79.20333333333333,87.60999999999999,95.43333333333332
